,balance,冗長ラベル（日本語）,冗長ラベル（英語）,標準ラベル（英語）,標準ラベル（日本語）,color
その他、有形固定資産_up, debit, その他、有形固定資産, Other-PPE, Other-PPE, その他、有形固定資産,tomato
その他、流動負債_up, credit, その他、流動負債, Other-CL, Other-CL, その他、流動負債,tomato
その他、流動資産_up, debit, その他、流動資産, Other-CA, Other-CA, その他、流動資産,tomato
その他、無形固定資産_up, debit, その他、無形固定資産, Other-IA, Other-IA, その他、無形固定資産,tomato
その他、特別利益_up, credit, その他、特別利益, Other-EI, Other-EI, その他、特別利益,tomato
その他、特別損失_up, debit, その他、特別損失, Other-EL, Other-EL, その他、特別損失,tomato
その他、繰延資産_up, debit, その他、繰延資産, Other-DA, Other-DA, その他、繰延資産,tomato
その他、販売費及び一般管理費_up, debit, その他、販売費及び一般管理費, Other-SGA, Other-SGA, その他、販売費及び一般管理費,tomato
その他、金融費用、特定金融業_up, debit, その他、金融費用、特定金融業, Other financial expenses-SPF, Other financial expenses-SPF, その他、金融費用、特定金融業,tomato
その他のたな卸資産_up, debit, その他のたな卸資産, Other inventories, Other inventories, その他のたな卸資産,tomato
その他のトレーディング損益_up, credit, その他のトレーディング損益、営業収益、第一種金融商品取引業, Other net trading income-OR-SEC, Other net trading income, その他のトレーディング損益,tomato
その他のレジャー事業収入_up, credit, その他のレジャー事業収入、営業収益、開発事業、鉄道事業, Revenue-other leisure-OR-incidental-RWY, Revenue - other leisure, その他のレジャー事業収入,tomato
その他の一般管理費_up, debit, その他の一般管理費、販売費及び一般管理費, Other general and administrative expenses-SGA, Other general and administrative expenses, その他の一般管理費,tomato
その他の事業_up, debit, その他の事業、建設仮勘定、鉄道事業, Construction in progress-other business-RWY, Construction in progress - other business, その他の事業,tomato
その他の事業原価_up, debit, その他の事業原価、営業活動による費用・売上原価, Cost of sales in other businesses 2 - COSExpOA, Cost of sales in other businesses, その他の事業原価,tomato
その他の事業収入_up, credit, その他の事業収入、営業活動による収益, Other business revenue-2-RevOA, Other business revenue, その他の事業収入,tomato
その他の事業収益_up, credit, その他の事業収益、営業活動による収益, Other business revenue-1-RevOA, Other business revenue, その他の事業収益,tomato
その他の事業売上原価_up, debit, その他の事業売上原価、営業活動による費用・売上原価, Cost of sales in other businesses - COSExpOA, Cost of sales in other businesses, その他の事業売上原価,tomato
その他の事業売上高_up, credit, その他の事業売上高、営業活動による収益, Sales in other businesses - RevOA, Sales in other businesses, その他の事業売上高,tomato
その他の事業外収益_up, credit, その他の事業外収益、社会医療法人, Other non-operating income-MED, Other non-operating income, その他の事業外収益,tomato
その他の事業外費用_up, debit, その他の事業外費用、社会医療法人, Other non-operating expenses-MED, Other non-operating expenses, その他の事業外費用,tomato
その他の事業費用_up, debit, その他の事業費用、営業活動による費用・売上原価, Other business expenses-COSExpOA, Other business expenses, その他の事業費用,tomato
その他の人件費_up, debit, その他の人件費、販売費及び一般管理費, Other personnel expenses-SGA, Other personnel expenses, その他の人件費,tomato
その他の出資剰余金控除額_up, credit, その他の出資剰余金控除額、投資業, Other deduction from unitholders' capital surplus-INV, Other deduction from unitholders' capital surplus, その他の出資剰余金控除額,tomato
その他の出資総額控除額_up, credit, その他の出資総額控除額、投資業, Other deduction from unitholders' capital-INV, Other deduction from unitholders' capital, その他の出資総額控除額,tomato
その他の原価_up, debit, その他の原価、営業活動による費用・売上原価, Other cost-COSExpOA, Other cost, その他の原価,tomato
その他の収入_up, credit, その他の収入、営業活動による収益, Other revenue-2-RevOA, Other revenue, その他の収入,tomato
その他の収益_up, credit, その他の収益、営業活動による収益, Other revenue-1-RevOA, Other revenue, その他の収益,tomato
その他の受入保証金_up, credit, その他の受入保証金、流動負債、第一種金融商品取引業, Guarantee deposits received for others-CL-SEC, Guarantee deposits received for others, その他の受入保証金,tomato
その他の受入利息_up, credit, その他の受入利息、経常収益、銀行業, Other interest income-OI-BNK, Other interest income, その他の受入利息,tomato
その他の受入手数料_up, credit, その他の受入手数料、営業収益、第一種金融商品取引業, Other fees received-OR-SEC, Other fees received, その他の受入手数料,tomato
その他の商品売買損益_up, credit, その他の商品売買損益、第一種金融商品取引業, Other net gain on goods trading-SEC, Other net gain on goods trading, その他の商品売買損益,tomato
その他の商品有価証券_up, debit, その他の商品有価証券、商品有価証券、資産の部、銀行業, Other trading account securities-trading account securities-assets-BNK, Other trading account securities, その他の商品有価証券,tomato
その他の営業収入_up, credit, その他の営業収入、営業活動による収益, Other operating revenue-2-RevOA, Other operating revenue, その他の営業収入,tomato
その他の営業収益_up, credit, その他の営業収益、営業活動による収益, Other operating revenue-1-RevOA, Other operating revenue, その他の営業収益,tomato
その他の営業貸付債権_up, debit, その他の営業貸付債権、流動資産、リース事業, Accounts receivable-other loans to customers-CA-LEA, Accounts receivable - other loans to customers, その他の営業貸付債権,tomato
その他の営業費用_up, debit, その他の営業費用、特定金融業, Other operating expenses-SPF, Other operating expenses, その他の営業費用,tomato
その他の営業資産_up, debit, その他の営業資産、流動資産、リース事業, Other operating assets-CA-LEA, Other operating assets, その他の営業資産,tomato
その他の器械備品_up, debit, その他の器械備品、社会医療法人, Other instrument and equipment-MED, Other instrument and equipment, その他の器械備品,tomato
その他の器械備品（純額）_up, debit, その他の器械備品（純額）、社会医療法人," Other instrument and equipment, net-MED"," Other instrument and equipment, net", その他の器械備品（純額）,tomato
その他の固定負債_up, credit, 1年内期限到来予定のその他の固定負債, Current portion of other non-current liabilities, Current portion of other non-current liabilities, その他の固定負債,tomato
その他の固定資産_up, debit, その他の固定資産、鉄道事業, Other non-current assets-RWY, Other non-current assets, その他の固定資産,tomato
その他の売上原価_up, debit, その他の売上原価、売上原価、リース事業, Other cost of sales-COS-LEA, Other cost of sales, その他の売上原価,tomato
その他の売上高_up, credit, その他の売上高、売上高、リース事業, Other net sales-sales-LEA, Other net sales, その他の売上高,tomato
その他の差入保証金_up, debit, その他の差入保証金、流動資産、第一種金融商品取引業, Guarantee deposits for others-CA-SEC, Guarantee deposits for others, その他の差入保証金,tomato
その他の引当金_up, credit, その他の引当金、流動負債, Other provisions - CL, Other provisions, その他の引当金,tomato
その他の役務収益_up, credit, その他の役務収益、経常収益、銀行業, Other fees and commissions-OI-BNK, Other fees and commissions, その他の役務収益,tomato
その他の役務費用_up, debit, その他の役務費用、経常費用、銀行業, Other fees and commissions-OE-BNK, Other fees and commissions, その他の役務費用,tomato
その他の投資評価損_up, debit, その他の投資評価損、特別損失, Loss on valuation of other investments-EL, Loss on valuation of other investments, その他の投資評価損,tomato
その他の支払利息_up, debit, その他の支払利息、経常費用、銀行業, Other interest expenses-OE-BNK, Other interest expenses, その他の支払利息,tomato
その他の施設利用権_up, debit, その他の施設利用権, Right to use other facilities, Right to use other facilities, その他の施設利用権,tomato
その他の未収入金_up, debit, その他の未収入金, Other accounts receivable, Other accounts receivable, その他の未収入金,tomato
その他の業務収益_up, credit, その他の業務収益、経常収益、銀行業, Other-other ordinary income-OI-BNK, Other-other ordinary income-OI-BNK, その他の業務収益,tomato
その他の業務費用_up, debit, その他の業務費用、経常費用、銀行業, Other-other operating expenses-OE-BNK, Other-other operating expenses-OE-BNK, その他の業務費用,tomato
その他の機器備品_up, debit, その他の機器備品、学校法人, Other instrument and equipment-EDU, Other instrument and equipment, その他の機器備品,tomato
その他の機器備品（純額）_up, debit, その他の機器備品（純額）、学校法人," Other instrument and equipment, net-EDU"," Other instrument and equipment, net", その他の機器備品（純額）,tomato
その他の無形固定資産_up, debit, その他の無形固定資産、無形固定資産、電気通信事業固定資産, Other intangible assets-IA-NCA-telecommunications, Other intangible assets, その他の無形固定資産,tomato
その他の特定取引収益_up, credit, その他の特定取引収益、経常収益、銀行業, Other trading income-OI-BNK, Other trading income, その他の特定取引収益,tomato
その他の特定取引負債_up, credit, その他の特定取引負債、特定取引負債、負債の部、銀行業, Other trading liabilities-trading liabilities-liabilities-BNK, Other trading liabilities, その他の特定取引負債,tomato
その他の特定取引費用_up, debit, その他の特定取引費用、経常費用、銀行業, Other trading expenses-OE-BNK, Other trading expenses, その他の特定取引費用,tomato
その他の特定取引資産_up, debit, その他の特定取引資産、特定取引資産、資産の部、銀行業, Other trading assets-trading assets-assets-BNK, Other trading assets, その他の特定取引資産,tomato
その他の社債_up, credit, その他の社債、固定負債、高速道路事業, Other bonds payable-NCL-HWY, Other bonds payable, その他の社債,tomato
その他の社債発行費_up, debit, その他の社債発行費、繰延資産、高速道路事業, Other bond issuance cost-DA-HWY, Other bond issuance cost, その他の社債発行費,tomato
その他の立替金_up, debit, その他の立替金、流動資産、第一種金融商品取引業, Advance payments for others-CA-SEC, Advance payments for others, その他の立替金,tomato
その他の経常収益_up, credit, その他の経常収益、経常収益、銀行業, Other-other income-OI-BNK, Other-other income-OI-BNK, その他の経常収益,tomato
その他の経常費用_up, debit, その他の経常費用、経常費用、銀行業, Other-other expenses-OE-BNK, Other-other expenses-OE-BNK, その他の経常費用,tomato
その他の経費_up, debit, その他の経費、販売費及び一般管理費, Other expenses-SGA, Other expenses, その他の経費,tomato
その他の設備_up, debit, その他の設備、有形固定資産, Other facilities-PPE, Other facilities, その他の設備,tomato
その他の証券_up, debit, その他の証券、資産の部、保険業, Other securities-assets-INS, Other securities, その他の証券,tomato
その他の負債_up, credit, その他の負債、その他負債、負債の部、銀行業, Other-other liabilities-liabilities-BNK, Other, その他の負債,tomato
その他の販売費_up, debit, その他の販売費、販売費及び一般管理費, Other selling expenses-SGA, Other selling expenses, その他の販売費,tomato
その他の資産_up, debit, その他の資産、社会医療法人, Other assets-MED, Other assets, その他の資産,tomato
その他の資産の部_up, debit, その他の資産の部、資産流動化業, Other assets-LIQ, Other assets, その他の資産の部,tomato
その他の金融収益_up, credit, その他の金融収益、営業活動による収益, Other financial revenue-RevOA, Other financial revenue, その他の金融収益,tomato
その他の金融費用_up, debit, その他の金融費用、営業活動による費用・売上原価, Other financial expenses-COSExpOA, Other financial expenses, その他の金融費用,tomato
その他の長期借入金_up, credit, その他の長期借入金、固定負債、高速道路事業, Other long-term borrowings - NCL - HWY, Other long-term borrowings, その他の長期借入金,tomato
その他の関係会社投資_up, debit, その他の関係会社投資、投資その他の資産、電気通信事業, Other investments in subsidiaries and associates-IOA-ELC, Other investments in subsidiaries and associates, その他の関係会社投資,tomato
その他の関係会社有価証券_up, debit, その他の関係会社有価証券, Investments in other securities of subsidiaries and associates, Investments in other securities of subsidiaries and associates, その他の関係会社有価証券,tomato
その他の電気事業固定資産_up, debit, その他の電気事業固定資産、電気事業固定資産、電気事業, Other electric utility plant and equipment-NCA-electric-ELE, Other electric utility plant and equipment, その他の電気事業固定資産,tomato
その他の預り金_up, credit, その他の預り金、流動負債、第一種金融商品取引業, Deposits for others-CL-SEC, Deposits for others, その他の預り金,tomato
その他の預託金_up, debit, その他の預託金、流動資産、第一種金融商品取引業, Cash segregated as deposits for others-CA-SEC, Cash segregated as deposits for others, その他の預託金,tomato
その他の預金_up, credit, その他の預金、預金、負債の部、銀行業, Other deposits-deposits-liabilities-BNK, Other deposits, その他の預金,tomato
その他一般管理費_up, debit, その他一般管理費、海運業, Other general and administrative expenses-WAT, Other general and administrative expenses, その他一般管理費,tomato
その他事業収益_up, credit, その他事業収益、海運業, Other business revenue-WAT, Other business revenue, その他事業収益,tomato
その他事業営業収益_up, credit, その他事業営業収益、鉄道事業, Operating revenue - other businesses - RWY, Operating revenue - other businesses, その他事業営業収益,tomato
その他事業営業費_up, debit, その他事業営業費、鉄道事業, Operating expenses - other businesses - RWY, Operating expenses - other businesses, その他事業営業費,tomato
その他事業営業費用_up, debit, その他事業営業費用、電気事業, Other business operating expenses-ELE, Other business operating expenses, その他事業営業費用,tomato
その他事業固定資産_up, debit, その他事業固定資産、その他事業、鉄道事業, Non-current assets - other businesses - other businesses - RWY, Non-current assets - other businesses, その他事業固定資産,tomato
その他事業未収金_up, debit, その他事業未収金、流動資産、海運業, Accounts receivable-other business-CA-WAT, Accounts receivable - other business, その他事業未収金,tomato
その他事業未収金（純額）_up, debit, その他事業未収金（純額）、流動資産、海運業," Accounts receivable-other business, net-CA-WAT"," Accounts receivable - other business, net", その他事業未収金（純額）,tomato
その他事業未払金_up, credit, その他事業未払金、流動負債、海運業, Accounts payable-other business-CL-WAT, Accounts payable - other business, その他事業未払金,tomato
その他事業費用_up, debit, その他事業費用、海運業, Other business expenses-WAT, Other business expenses, その他事業費用,tomato
その他保険引受収益_up, credit, その他保険引受収益、経常収益、保険業, Other underwriting income-OI-INS, Other underwriting income, その他保険引受収益,tomato
その他保険引受費用_up, debit, その他保険引受費用、経常費用、保険業, Other underwriting expenses-OE-INS, Other underwriting expenses, その他保険引受費用,tomato
その他利息配当金_up, credit, その他利息配当金、経常収益、保険業, Other interest and dividends-OI-INS, Other interest and dividends, その他利息配当金,tomato
その他利益剰余金_up, credit, その他利益剰余金, Other retained earnings, Other retained earnings, その他利益剰余金,tomato
その他営業収益_up, credit, その他営業収益、営業収益、投資運用業, Other operating revenue-OR-IVT, Other operating revenue, その他営業収益,tomato
その他営業費用_up, debit, その他営業費用、営業費用、投資業, Other operating expenses-OE-INV, Other operating expenses, その他営業費用,tomato
その他営業雑収益_up, credit, その他営業雑収益、ガス事業, Other miscellaneous operating revenue-GAS, Other miscellaneous operating revenue, その他営業雑収益,tomato
その他営業雑費用_up, debit, その他営業雑費用、ガス事業, Other miscellaneous operating expenses - GAS, Other miscellaneous operating expenses, その他営業雑費用,tomato
その他有価証券評価差額金_up, credit, その他有価証券評価差額金, Valuation difference on available-for-sale securities, Valuation difference on available-for-sale securities, その他有価証券評価差額金,tomato
その他未払金_up, credit, その他未払金、流動負債、投資運用業, Other accounts payable-CL-IVT, Other accounts payable, その他未払金,tomato
その他業務収益_up, credit, その他業務収益、経常収益、銀行業, Other ordinary income-OI-BNK, Other ordinary income, その他業務収益,tomato
その他業務費用_up, debit, その他業務費用、経常費用、銀行業, Other ordinary expenses-OE-BNK, Other ordinary expenses, その他業務費用,tomato
その他海運業収益_up, credit, その他海運業収益、海運業収益, Other shipping business revenue-revenue-shipping, Other shipping business revenue, その他海運業収益,tomato
その他海運業費用_up, debit, その他海運業費用、海運業, Other shipping business expenses-WAT, Other shipping business expenses, その他海運業費用,tomato
その他経常収益_up, credit, その他経常収益、経常収益、銀行業, Other income-OI-BNK, Other income, その他経常収益,tomato
その他経常費用_up, debit, その他経常費用、経常費用、銀行業, Other expenses-OE-BNK, Other expenses, その他経常費用,tomato
その他船費_up, debit, その他船費、船費、海運業費用, Other ship expenses-ship-expenses-shipping, Other ship expenses, その他船費,tomato
その他負債_up, credit, その他負債、負債の部、銀行業, Other liabilities-liabilities-BNK, Other liabilities, その他負債,tomato
その他賃貸事業収入_up, credit, その他賃貸事業収入、営業収益、投資業, Other leasing business revenue - OR - INV, Other leasing business revenue, その他賃貸事業収入,tomato
その他資本剰余金_up, credit, その他資本剰余金, Other capital surplus, Other capital surplus, その他資本剰余金,tomato
その他資産_up, debit, その他資産、資産の部、銀行業, Other assets-assets-BNK, Other assets, その他資産,tomato
その他資産償却_up, debit, その他資産償却、銀行業, Amortization of other assets-BNK, Amortization of other assets, その他資産償却,tomato
その他資産負債差額_up, credit, その他資産負債差額、学校法人, Other assets liabilities difference-EDU, Other assets liabilities difference, その他資産負債差額,tomato
その他返戻金_up, debit, その他返戻金、経常費用、保険業, Other refunds-OE-INS, Other refunds, その他返戻金,tomato
その他運用収益_up, credit, その他運用収益、経常収益、保険業, Other investment income-OI-INS, Other investment income, その他運用収益,tomato
その他運用費用_up, debit, その他運用費用、経常費用、保険業, Other investment expenses-OE-INS, Other investment expenses, その他運用費用,tomato
その他運航費_up, debit, その他運航費、運航費、海運業費用, Other navigation expenses-navi-expenses-shipping, Other navigation expenses, その他運航費,tomato
その他運賃_up, credit, その他運賃、海運業収益, Other-revenue-shipping, Other-revenue-shipping, その他運賃,tomato
その他附帯事業収益_up, credit, その他附帯事業収益、ガス事業, Revenue from other incidental businesses-GAS, Revenue from other incidental businesses, その他附帯事業収益,tomato
その他附帯事業営業収益_up, credit, その他附帯事業営業収益、附帯事業営業収益、電気事業, Operating revenue-other businesses-OR-incidental-ELE, Operating revenue - other businesses, その他附帯事業営業収益,tomato
その他附帯事業営業費用_up, debit, その他附帯事業営業費用、附帯事業営業費用、電気事業, Operating expenses-other businesses-OE-incidental-ELE, Operating expenses - other businesses, その他附帯事業営業費用,tomato
その他附帯事業費用_up, debit, その他附帯事業費用、ガス事業, Expenses for other incidental businesses-GAS, Expenses for other incidental businesses, その他附帯事業費用,tomato
その他（純額）_up, debit, その他（純額）、有形固定資産," Other, net-PPE"," Other, net", その他（純額）,tomato
たな卸不動産_up, debit, たな卸不動産、建設業, Real estate for sale and development projects in progress-CNS, Real estate for sale and development projects in progress, たな卸不動産,tomato
たな卸資産_up, debit, たな卸資産, Inventories, Inventories, たな卸資産,tomato
たな卸資産処分損_up, debit, たな卸資産処分損、特別損失, Loss on disposal of inventories-EL, Loss on disposal of inventories, たな卸資産処分損,tomato
たな卸資産廃棄損_up, debit, たな卸資産廃棄損、特別損失, Loss on abandonment of inventories-EL, Loss on abandonment of inventories, たな卸資産廃棄損,tomato
たな卸資産評価損_up, debit, たな卸資産評価損、特別損失, Loss on valuation of inventories-EL, Loss on valuation of inventories, たな卸資産評価損,tomato
たな卸資産除却損_up, debit, たな卸資産除却損、特別損失, Loss on retirement of inventories-EL, Loss on retirement of inventories, たな卸資産除却損,tomato
のれん_up, debit, のれん, Goodwill, Goodwill, のれん,tomato
のれん償却額_up, debit, のれん償却額、販売費及び一般管理費, Amortization of goodwill-SGA, Amortization of goodwill, のれん償却額,tomato
オプション負債_up, credit, オプション負債、流動負債, Options-CL, Options, オプション負債,tomato
オプション資産_up, debit, オプション資産、流動資産, Options-CA, Options, オプション資産,tomato
カード事業収入_up, credit, カード事業収入、営業収益、関連事業、鉄道事業, Revenue - card - OR - related businesses - RWY, Revenue - card, カード事業収入,tomato
ガスホルダー修繕引当金_up, credit, ガスホルダー修繕引当金、ガス事業, Provision for gas holder repairs-GAS, Provision for gas holder repairs, ガスホルダー修繕引当金,tomato
ガスホルダー修繕引当金戻入額_up, credit, ガスホルダー修繕引当金戻入額、ガス事業, Reversal of provision for gas holder repairs-GAS, Reversal of provision for gas holder repairs, ガスホルダー修繕引当金戻入額,tomato
ガス事業売上高_up, credit, ガス事業売上高、ガス事業, Sales from gas business - GAS, Sales from gas business, ガス事業売上高,tomato
ガス供給事業営業収益_up, credit, ガス供給事業営業収益、附帯事業営業収益、電気事業, Operating revenue-gas supply business-OR-incidental-ELE, Operating revenue - gas supply business, ガス供給事業営業収益,tomato
ガス供給事業営業費用_up, debit, ガス供給事業営業費用、附帯事業営業費用、電気事業, Operating expenses-gas supply business-OE-incidental-ELE, Operating expenses - gas supply business, ガス供給事業営業費用,tomato
ガス売上_up, credit, ガス売上、ガス事業, Gas sales-GAS, Gas sales, ガス売上,tomato
ガス売上原価_up, debit, ガス売上原価、ガス事業, Cost of gas sales-GAS, Cost of gas sales, ガス売上原価,tomato
ガス熱量変更引当金_up, credit, ガス熱量変更引当金、ガス事業, Provision for conversion of heating value of supplied gas-provision-GAS, Provision for conversion of heating value of supplied gas, ガス熱量変更引当金,tomato
ガス熱量変更引当金取崩し_up, credit, ガス熱量変更引当金取崩し、特別利益、ガス事業, Reversal of provision for conversion of heating value of supplied gas-EI-GAS, Reversal of provision for conversion of heating value of supplied gas, ガス熱量変更引当金取崩し,tomato
ガス熱量変更引当金引当_up, debit, ガス熱量変更引当金引当、特別損失、ガス事業, Provision for conversion of heating value of supplied gas-EL-GAS, Provision for conversion of heating value of supplied gas, ガス熱量変更引当金引当,tomato
コマーシャル・ペーパー_up, credit, コマーシャル・ペーパー, Commercial papers-liabilities, Commercial papers, コマーシャル・ペーパー,tomato
コマーシャル・ペーパー利息_up, debit, コマーシャル・ペーパー利息、営業外費用, Interest on commercial papers-NOE, Interest on commercial papers, コマーシャル・ペーパー利息,tomato
コミットメントフィー_up, debit, コミットメントフィー、営業外費用, Commitment fee-NOE, Commitment fee, コミットメントフィー,tomato
コンサルティング事業営業収益_up, credit, コンサルティング事業営業収益、附帯事業営業収益、電気事業, Operating revenue-consulting business-OR-incidental-ELE, Operating revenue - consulting business, コンサルティング事業営業収益,tomato
コンサルティング事業営業費用_up, debit, コンサルティング事業営業費用、附帯事業営業費用、電気事業, Operating expenses-consulting business-OE-incidental-ELE, Operating expenses - consulting business, コンサルティング事業営業費用,tomato
コンサルティング収入_up, credit, コンサルティング収入、営業活動による収益, Consulting income-RevOA, Consulting income, コンサルティング収入,tomato
コース勘定_up, debit, コース勘定, Golf courses, Golf courses, コース勘定,tomato
コールマネー_up, credit, コールマネー、負債の部、銀行業, Call money-liabilities-BNK, Call money, コールマネー,tomato
コールマネー利息_up, debit, コールマネー利息、経常費用、銀行業, Interest on call money-OE-BNK, Interest on call money, コールマネー利息,tomato
コールマネー利息及び売渡手形利息_up, debit, コールマネー利息及び売渡手形利息、経常費用、銀行業, Interest on call money and bills sold-OE-BNK, Interest on call money and bills sold, コールマネー利息及び売渡手形利息,tomato
コールマネー及び売渡手形_up, credit, コールマネー及び売渡手形、負債の部、銀行業, Call money and bills sold-liabilities-BNK, Call money and bills sold, コールマネー及び売渡手形,tomato
コールローン_up, debit, コールローン、資産の部、銀行業, Call loans-assets-BNK, Call loans, コールローン,tomato
コールローン利息_up, credit, コールローン利息、経常収益、銀行業, Interest on call loans-OI-BNK, Interest on call loans, コールローン利息,tomato
コールローン利息及び買入手形利息_up, credit, コールローン利息及び買入手形利息、経常収益、銀行業, Interest on call loans and bills bought-OI-BNK, Interest on call loans and bills bought, コールローン利息及び買入手形利息,tomato
コールローン及び買入手形_up, debit, コールローン及び買入手形、資産の部、銀行業, Call loans and bills bought-assets-BNK, Call loans and bills bought, コールローン及び買入手形,tomato
ゴルフ会員権_up, debit, ゴルフ会員権, Golf club membership, Golf club membership, ゴルフ会員権,tomato
ゴルフ会員権売却損_up, debit, ゴルフ会員権売却損、特別損失, Loss on sales of golf club memberships-EL, Loss on sales of golf club memberships, ゴルフ会員権売却損,tomato
ゴルフ会員権売却益_up, credit, ゴルフ会員権売却益、特別利益, Gain on sales of golf memberships-EI, Gain on sales of golf memberships, ゴルフ会員権売却益,tomato
ゴルフ会員権評価損_up, debit, ゴルフ会員権評価損、特別損失, Loss on valuation of golf club membership-EL, Loss on valuation of golf club membership, ゴルフ会員権評価損,tomato
ゴルフ会員権貸倒引当金繰入額_up, debit, ゴルフ会員権貸倒引当金繰入額、特別損失, Provision of allowance for doubtful accounts of golf club membership-EL, Provision of allowance for doubtful accounts of golf club membership, ゴルフ会員権貸倒引当金繰入額,tomato
サービス売上原価_up, debit, サービス売上原価、営業活動による費用・売上原価, Cost of service sales-COSExpOA, Cost of service sales, サービス売上原価,tomato
サービス売上高_up, credit, サービス売上高、営業活動による収益, Service sales-RevOA, Service sales, サービス売上高,tomato
シンジケートローン手数料_up, debit, シンジケートローン手数料、営業外費用, Commission for syndicated loans - NOE, Commission for syndicated loans, シンジケートローン手数料,tomato
スクラップ売却益_up, credit, スクラップ売却益、営業外収益, Gain on sales of scraps-2-NOI, Gain on sales of scraps, スクラップ売却益,tomato
スポーツ施設収入_up, credit, スポーツ施設収入、営業収益、開発事業、鉄道事業, Revenue-sports facilities-OR-development-RWY, Revenue - sports facilities, スポーツ施設収入,tomato
ソフトウェア_up, debit, ソフトウェア、無形固定資産、電気通信事業固定資産, Software-IA-NCA-telecommunications, Software, ソフトウェア,tomato
ソフトウエア_up, debit, ソフトウエア, Software, Software, ソフトウエア,tomato
ソフトウエア仮勘定_up, debit, ソフトウエア仮勘定, Software in progress, Software in progress, ソフトウエア仮勘定,tomato
ソフトウエア償却費_up, debit, ソフトウエア償却費、営業活動による費用・売上原価, Amortization of software-COSExpOA, Amortization of software, ソフトウエア償却費,tomato
ソフトウエア開発売上原価_up, debit, ソフトウエア開発売上原価、営業活動による費用・売上原価, Cost of sales of software development-COSExpOA, Cost of sales of software development, ソフトウエア開発売上原価,tomato
ソフトウエア開発売上高_up, credit, ソフトウエア開発売上高、営業活動による収益, Sales of software development-RevOA, Sales of software development, ソフトウエア開発売上高,tomato
ソフトウエア除却損_up, debit, ソフトウエア除却損、特別損失, Loss on retirement of software-EL, Loss on retirement of software, ソフトウエア除却損,tomato
テレビ収入_up, credit, テレビ収入、営業活動による収益, Income from television business-RevOA, Income from television business, テレビ収入,tomato
デリバティブ債務_up, credit, デリバティブ債務、流動負債, Derivatives liabilities-CL, Derivatives liabilities, デリバティブ債務,tomato
デリバティブ債権_up, debit, デリバティブ債権、流動資産, Derivatives-CA, Derivatives, デリバティブ債権,tomato
