,seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
21,22,S100FV0I,E08957,,4010401049128.0,三井住友ＤＳアセットマネジメント株式会社,G09119,30.0,07A000,120.0,2018-03-21,2019-03-20,2019-06-17 09:04,有価証券報告書（内国投資信託受益証券）－第6期(平成30年3月21日－平成31年3月20日),,,,,,,0,0,0,1,1,1,0
22,23,S100FVK7,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G12585,30.0,04A001,40.0,,,2019-06-17 09:04,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100EDJH,,0,0,0,1,1,0,0
23,24,S100FUEA,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08746,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:04,有価証券報告書（内国投資信託受益証券）－第14期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
24,25,S100FZ6I,E12447,,9011301011486.0,朝日ライフ　アセットマネジメント株式会社,G01291,30.0,07A000,120.0,2018-03-17,2019-03-18,2019-06-17 09:05,有価証券報告書（内国投資信託受益証券）－第19期(平成30年3月17日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
25,26,S100FUUA,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G11038,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:05,有価証券報告書（内国投資信託受益証券）－第43期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
26,27,S100FV5O,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08748,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:05,有価証券報告書（内国投資信託受益証券）－第14期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
27,28,S100FZRG,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
28,29,S100FXTI,E06433,,3010001034076.0,東京海上アセットマネジメント株式会社,G10648,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:05,有価証券報告書（内国投資信託受益証券）－第9期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
29,30,S100FLUM,E12434,,7010001031160.0,損保ジャパン日本興亜アセットマネジメント株式会社,G10682,30.0,10A000,160.0,2018-09-19,2019-09-17,2019-06-17 09:05,半期報告書（内国投資信託受益証券）－第5期(平成30年9月19日－令和1年9月17日),,,,,,,0,0,0,1,1,0,0
30,31,S100FUEJ,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08746,30.0,04A000,30.0,,,2019-06-17 09:05,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
31,32,S100FUUC,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G11038,30.0,04A001,40.0,,,2019-06-17 09:06,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100EN4G,,0,0,0,1,1,0,0
32,33,S100FXHU,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
33,34,S100FV5M,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08748,30.0,04A000,30.0,,,2019-06-17 09:06,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
34,35,S100FUPS,E08957,,4010401049128.0,三井住友ＤＳアセットマネジメント株式会社,G04563,30.0,04A000,30.0,,,2019-06-17 09:07,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
35,36,S100FXTR,E12434,,7010001031160.0,損保ジャパン日本興亜アセットマネジメント株式会社,G10682,30.0,04A001,40.0,,,2019-06-17 09:07,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100ENY1,,0,0,0,1,1,0,0
36,37,S100FZ6J,E12447,,9011301011486.0,朝日ライフ　アセットマネジメント株式会社,G01291,30.0,04A000,30.0,,,2019-06-17 09:07,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
37,38,S100FYLC,E06264,,6010001098507.0,ＪＰモルガン・アセット・マネジメント株式会社,G04581,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:08,有価証券報告書（内国投資信託受益証券）－第27期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
38,39,S100FZBC,E26732,,,クレディ・アグリコル・エス・エー,,10.0,080000,120.0,2018-01-01,2018-12-31,2019-06-17 09:08,有価証券報告書,,,,,,,0,0,0,0,1,1,0
39,40,S100FZU5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
40,41,S100FV5S,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08749,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:08,有価証券報告書（内国投資信託受益証券）－第14期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
41,42,S100FWH7,E06433,,3010001034076.0,東京海上アセットマネジメント株式会社,G10080,30.0,04A000,30.0,,,2019-06-17 09:08,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
42,43,S100FYHI,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
43,44,S100FZQ6,E01063,49250.0,5010001066200.0,株式会社ハーバー研究所,,10.0,030000,120.0,2018-04-01,2019-03-31,2019-06-17 09:08,有価証券報告書－第36期(平成30年4月1日－平成31年3月31日),,,,,,,0,0,0,1,1,1,0
44,45,S100FU11,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08743,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:09,有価証券報告書（内国投資信託受益証券）－第14期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
45,46,S100FZQH,E01063,49250.0,5010001066200.0,株式会社ハーバー研究所,,10.0,042000,135.0,,,2019-06-17 09:09,確認書,,,,,,,0,0,0,0,1,0,0
46,47,S100FYHL,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
47,48,S100FUEZ,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08745,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:09,有価証券報告書（内国投資信託受益証券）－第14期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
48,49,S100FV5R,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08749,30.0,04A000,30.0,,,2019-06-17 09:09,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
49,50,S100FZQN,E01063,49250.0,5010001066200.0,株式会社ハーバー研究所,,15.0,010000,235.0,,,2019-06-17 09:09,内部統制報告書－第36期(平成30年4月1日－平成31年3月31日),,,,,,,0,0,0,1,1,0,0
50,51,S100FWHD,E06433,,3010001034076.0,東京海上アセットマネジメント株式会社,G10080,30.0,10A000,160.0,2018-09-19,2019-09-17,2019-06-17 09:09,半期報告書（内国投資信託受益証券）－第6期(平成30年9月19日－令和1年9月17日),,,,,,,0,0,0,1,1,0,0
51,52,S100FYLD,E06264,,6010001098507.0,ＪＰモルガン・アセット・マネジメント株式会社,G04581,30.0,04A001,40.0,,,2019-06-17 09:09,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100EP9M,,0,0,0,1,1,1,0
52,53,S100FU10,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08743,30.0,04A000,30.0,,,2019-06-17 09:09,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
53,54,S100FYHN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
54,55,S100FZU7,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
55,56,S100FUF4,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08745,30.0,04A000,30.0,,,2019-06-17 09:10,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
56,57,S100FUPT,E08957,,4010401049128.0,三井住友ＤＳアセットマネジメント株式会社,G04563,30.0,07A000,120.0,2018-09-21,2019-03-20,2019-06-17 09:10,有価証券報告書（内国投資信託受益証券）－第27期(平成30年9月21日－平成31年3月20日),,,,,,,0,0,0,1,1,1,0
57,58,S100FW9Y,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G11041,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:10,有価証券報告書（内国投資信託受益証券）－第38期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
58,59,S100FYHS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
59,60,S100FZ6K,E12447,,9011301011486.0,朝日ライフ　アセットマネジメント株式会社,G11443,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:11,有価証券報告書（内国投資信託受益証券）－第7期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
60,61,S100FUFW,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G01284,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:11,有価証券報告書（内国投資信託受益証券）－第38期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
61,62,S100FZCH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
62,63,S100FZU9,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
63,64,S100FY01,E14900,,,ＵＢＳファンド・マネジメント（ルクセンブルグ）エス・エイ,G05894,30.0,04C001,40.0,,,2019-06-17 09:11,訂正有価証券届出書（外国投資信託受益証券）,,,,,S100DYC5,,0,0,0,0,1,0,0
64,65,S100FW9Z,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G11041,30.0,04A000,30.0,,,2019-06-17 09:12,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
65,66,S100FU0Z,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08744,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:12,有価証券報告書（内国投資信託受益証券）－第14期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
66,67,S100FUFU,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G01284,30.0,04A000,30.0,,,2019-06-17 09:12,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
67,68,S100FZQA,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
68,69,S100G02U,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
69,70,S100FU0X,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08744,30.0,04A000,30.0,,,2019-06-17 09:13,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
70,71,S100FWG8,E06433,,3010001034076.0,東京海上アセットマネジメント株式会社,G08518,30.0,04A000,30.0,,,2019-06-17 09:13,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
71,72,S100FZUC,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
72,73,S100G039,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
73,74,S100FU3Y,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G01812,30.0,10A000,160.0,2018-09-19,2019-09-17,2019-06-17 09:14,半期報告書（内国投資信託受益証券）－第25期(平成30年9月19日－令和1年9月17日),,,,,,,0,0,0,1,1,0,0
74,75,S100FZYB,E03570,83550.0,5080001002669.0,株式会社静岡銀行,,10.0,030000,120.0,2018-04-01,2019-03-31,2019-06-17 09:14,有価証券報告書－第113期(平成30年4月1日－平成31年3月31日),,,,,,,0,0,0,1,1,1,0
75,76,S100FZ6M,E12447,,9011301011486.0,朝日ライフ　アセットマネジメント株式会社,G11443,30.0,04A000,30.0,,,2019-06-17 09:14,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
76,77,S100FWA2,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G11045,30.0,07A000,120.0,2018-03-17,2019-03-18,2019-06-17 09:14,有価証券報告書（内国投資信託受益証券）－第17期(平成30年3月17日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
77,78,S100FYFT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
78,79,S100FUHK,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G01812,30.0,04A001,40.0,,,2019-06-17 09:15,訂正有価証券届出書（内国投資信託受益証券）,,,,,S100EMM6,,0,0,0,1,1,0,0
79,80,S100FZUD,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
80,81,S100FZYM,E04217,90400.0,2180001037542.0,大宝運輸株式会社,,10.0,030000,120.0,2018-03-21,2019-03-20,2019-06-17 09:15,有価証券報告書－第68期(平成30年3月21日－平成31年3月20日),,,,,,,0,0,0,1,1,1,0
81,82,S100FT9C,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G01990,30.0,07A000,120.0,2018-03-17,2019-03-18,2019-06-17 09:16,有価証券報告書（内国投資信託受益証券）－第21期(平成30年3月17日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
82,83,S100FWA3,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G11045,30.0,04A000,30.0,,,2019-06-17 09:16,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
83,84,S100FYFU,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
84,85,S100FZZO,E04217,90400.0,2180001037542.0,大宝運輸株式会社,,10.0,042000,135.0,,,2019-06-17 09:16,確認書,,,,,,,0,0,0,0,1,0,0
85,86,S100FZVD,E03570,83550.0,5080001002669.0,株式会社静岡銀行,,15.0,010000,235.0,,,2019-06-17 09:16,内部統制報告書－第113期(平成30年4月1日－平成31年3月31日),,,,,,,0,0,0,1,1,0,0
86,87,S100FWGA,E06433,,3010001034076.0,東京海上アセットマネジメント株式会社,G08518,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:17,有価証券報告書（内国投資信託受益証券）－第15期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
87,88,S100FZUE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
88,89,S100FSV2,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G10904,30.0,07A000,120.0,2018-03-20,2019-03-18,2019-06-17 09:17,有価証券報告書（内国投資信託受益証券）－第4期(平成30年3月20日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
89,90,S100FT9D,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G01990,30.0,04A000,30.0,,,2019-06-17 09:17,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
90,91,S100FZZ3,E04217,90400.0,2180001037542.0,大宝運輸株式会社,,15.0,010000,235.0,,,2019-06-17 09:18,内部統制報告書－第68期(平成30年3月21日－平成31年3月20日),,,,,,,0,0,0,1,1,0,0
91,92,S100FZVE,E03570,83550.0,5080001002669.0,株式会社静岡銀行,,10.0,042000,135.0,,,2019-06-17 09:18,確認書,,,,,,,0,0,0,0,1,0,0
92,93,S100FTZU,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
93,94,S100FY03,E14900,,,ＵＢＳファンド・マネジメント（ルクセンブルグ）エス・エイ,G11704,30.0,04C001,40.0,,,2019-06-17 09:18,訂正有価証券届出書（外国投資信託受益証券）,,,,,S100DOCS,,0,0,0,0,1,0,0
94,95,S100FZUF,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
95,96,S100FZUG,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
96,97,S100FZTX,E30637,,,ＵＢＳ（Ｌｕｘ）エクイティ・シキャブ,G10398,30.0,04D001,40.0,,,2019-06-17 09:21,訂正有価証券届出書（外国投資証券）,,,,,S100EKZ3,,0,0,0,0,1,0,0
97,98,S100FVF6,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08803,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:21,有価証券報告書（内国投資信託受益証券）－第14期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
98,99,S100FVF9,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G08803,30.0,04A000,30.0,,,2019-06-17 09:22,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
99,100,S100FWVV,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
100,101,S100FZQX,E14900,,,ＵＢＳファンド・マネジメント（ルクセンブルグ）エス・エイ,G05886,30.0,04C001,40.0,,,2019-06-17 09:27,訂正有価証券届出書（外国投資信託受益証券）,,,,,S100FORE,,0,0,0,0,1,0,0
101,102,S100FWW0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
102,103,S100FZR2,E14900,,,ＵＢＳファンド・マネジメント（ルクセンブルグ）エス・エイ,G11699,30.0,04C001,40.0,,,2019-06-17 09:28,訂正有価証券届出書（外国投資信託受益証券）,,,,,S100FOS5,,0,0,0,0,1,0,0
103,104,S100FXXZ,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G10595,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:28,有価証券報告書（内国投資信託受益証券）－第9期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
104,105,S100FUU6,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G11085,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:29,有価証券報告書（内国投資信託受益証券）－第10期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
105,106,S100FXY2,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G10595,30.0,04A000,30.0,,,2019-06-17 09:29,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
106,107,S100FUU7,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G11085,30.0,04A000,30.0,,,2019-06-17 09:30,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
107,108,S100FXXD,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G10596,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:30,有価証券報告書（内国投資信託受益証券）－第9期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
108,109,S100FZUS,E14857,,,エスエムティー・ファンド・サービシーズ（アイルランド）リミテッド,G06194,30.0,04C001,40.0,,,2019-06-17 09:31,訂正有価証券届出書（外国投資信託受益証券）,,,,,S100DMGE,,0,0,0,0,1,0,0
109,110,S100FVWF,E11518,,9010001034450.0,三菱ＵＦＪ国際投信株式会社,G12185,30.0,10A000,160.0,2018-09-19,2019-09-18,2019-06-17 09:34,半期報告書（内国投資信託受益証券）－第3期(平成30年9月19日－令和1年9月18日),,,,,,,0,0,0,1,1,0,0
110,111,S100FV0D,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G08299,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:34,有価証券報告書（内国投資信託受益証券）－第16期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
111,112,S100FV0G,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G08299,30.0,04A000,30.0,,,2019-06-17 09:35,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
112,113,S100FWKS,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G09126,30.0,07A000,120.0,2018-09-19,2019-03-18,2019-06-17 09:37,有価証券報告書（内国投資信託受益証券）－第12期(平成30年9月19日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
113,114,S100FXXH,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G10596,30.0,04A000,30.0,,,2019-06-17 09:37,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
114,115,S100FWKN,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G09126,30.0,04A000,30.0,,,2019-06-17 09:38,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
115,116,S100G05J,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
116,117,S100FWKP,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G09315,30.0,07A000,120.0,2018-03-20,2019-03-18,2019-06-17 09:39,有価証券報告書（内国投資信託受益証券）－第6期(平成30年3月20日－平成31年3月18日),,,,,,,0,0,0,1,1,1,0
117,118,S100FYK6,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
118,119,S100FWKQ,E12453,,9010001025953.0,ニッセイアセットマネジメント株式会社,G09315,30.0,04A000,30.0,,,2019-06-17 09:39,有価証券届出書（内国投資信託受益証券）,,,,,,,0,0,0,1,1,1,0
119,120,S100FYXV,E03606,83060.0,4010001073486.0,株式会社三菱ＵＦＪフィナンシャル・グループ,,60.0,030002,350.0,,,2019-06-17 09:41,変更報告書（特例対象株券等）,E00593,,,,,,0,0,0,1,1,1,0
120,121,S100FZM6,E03379,43370.0,1011001069980.0,ぴあ株式会社,,10.0,030000,120.0,2018-04-01,2019-03-31,2019-06-17 09:43,有価証券報告書－第46期(平成30年4月1日－平成31年3月31日),,,,,,,0,0,0,1,1,1,0
121,122,S100FZXB,E15296,,,ＵＢＳ（Ｌｕｘ）キー・セレクション・シキャブ,G06324,30.0,04D001,40.0,,,2019-06-17 09:44,訂正有価証券届出書（外国投資証券）,,,,,S100FI5R,,0,0,0,0,1,0,0
122,123,S100G02P,E03379,43370.0,1011001069980.0,ぴあ株式会社,,10.0,042000,135.0,,,2019-06-17 09:44,確認書,,,,,,,0,0,0,0,1,0,0
123,124,S100FZXO,E15296,,,ＵＢＳ（Ｌｕｘ）キー・セレクション・シキャブ,G13012,30.0,04D001,40.0,,,2019-06-17 09:45,訂正有価証券届出書（外国投資証券）,,,,,S100FDGI,,0,0,0,0,1,1,0
124,125,S100FZB7,E14984,,,インターナショナル・マネジメント・サービシズ・リミテッド,G09535,30.0,04C001,40.0,,,2019-06-17 09:45,訂正有価証券届出書（外国投資信託受益証券）,,,,,S100E4N1,,0,0,0,0,1,0,0
125,126,S100FZRS,E32015,,,フォーカス・シキャブ,G11464,30.0,04D001,40.0,,,2019-06-17 09:46,訂正有価証券届出書（外国投資証券）,,,,,S100FORW,,0,0,0,0,1,0,0
126,127,S100G02W,E03379,43370.0,1011001069980.0,ぴあ株式会社,,15.0,010000,235.0,,,2019-06-17 09:47,内部統制報告書－第46期(平成30年4月1日－平成31年3月31日),,,,,,,0,0,0,1,1,0,0
127,128,S100FYXS,E03606,83060.0,4010001073486.0,株式会社三菱ＵＦＪフィナンシャル・グループ,,60.0,030002,350.0,,,2019-06-17 09:47,変更報告書（特例対象株券等）,E01935,,,,,,0,0,0,1,1,1,0
128,129,S100FZQY,E31583,,,ＵＢＳ（Ｌｕｘ）ストラテジー・シキャブ,G11136,30.0,04D001,40.0,,,2019-06-17 09:50,訂正有価証券届出書（外国投資証券）,,,,,S100ENXK,,0,0,0,0,1,0,0
